line,title,description,category,cypher_examples,source_file,authority_level,quality_tier,review_status,reviewer_notes
165,How to install Neo4j in a disconnected environment,Premise: You are working with a private/disconnected environment and would like to install the Neo4j Database using RPM packages as a source.,security,,articles\modules\ROOT\pages\how-to-install-neo4j-in-a-disconnected-environment.adoc,1,low,,
166,How to List and Install Neo4j Versions Using yum,"Prior to Neo4j 3.2, the rpm distribution of Neo4j was experimental at this time. Use with caution and we advise installing",security,,articles\modules\ROOT\pages\how-to-list-and-install-neo4j-versions-using-yum.adoc,1,low,,
167,How to log to neo4j.log in a Server Plugin,"As part of the major changes in 3.0, the way to log to the user log, now neo4j.log (in server mode), has changed. To log within a Server Plugin follow these steps:",security,,articles\modules\ROOT\pages\how-to-log-to-neo4jlog-in-a-server-plugin.adoc,1,low,,
168,How to log to neo4j.log in an Unmanaged Extension,"As part of the major changes in 3.0, the way to log to the user log, now neo4j.log (in server mode), has changed. To log within an Unmanaged Extension is quite straightforward:",security,,articles\modules\ROOT\pages\how-to-log-to-neo4jlog-in-an-unmanaged-extension.adoc,1,low,,
169,How to logrotate neo4j.log file,"The neo4j.log file is a redirection to STDOUT. When you implement a default logrotate strategy,",security,,articles\modules\ROOT\pages\how-to-logrotate-neo4j-dot-log.adoc,1,low,,
170,Retired: How to manually clear the Node and Relationship Cache,This is no longer applicable in Neo4j 2.3+,modeling,,articles\modules\ROOT\pages\how-to-manually-clear-the-node-and-relationship-cache.adoc,1,low,,
171,How to monitor if a follower is in sync with Leader (Causal Cluster),"To monitor if a Follower is in sync with its Leader, or know how much it is lagging behind, it is possible to check the *Last Commited Transaction Id* from Leader and Follower.",security,"call dbms.queryJmx(""org.neo4j:instance=kernel#0,name=Transactions"") yield attributes 
return attributes[""LastCommittedTxId""]",articles\modules\ROOT\pages\how-to-monitor-if-a-follower-is-in-sync-with-leader-causal-cluster.adoc,1,low,,
172,How to monitor Neo4j with Prometheus,"Commencing with the release of Neo4j Enterprise 3.4, one can now use the open source monitoring tool",security,,articles\modules\ROOT\pages\how-to-monitor-neo4j-with-prometheus.adoc,1,medium,,
173,How to perform a Soundex search,Using https://neo4j.com/labs/apoc/4.4/overview/apoc.text/apoc.text.phonetic/[apoc.text.phonetic] one can perform a,cypher,"CREATE (n:Person {name:'Anders'})
CREATE (m:Person {name:'Andrew'})
CREATE (p:Person {name:'Andres'})",articles\modules\ROOT\pages\how-to-perform-a-soundex-search.adoc,1,high,,
174,How to properly shutdown a Neo4j database after receiving the message *took more than 120 seconds to stop*,The neo4j script under the `bin/` directory of any standard Neo4j install is the primary means of shutting down a running Neo4j instance. That script accepts a `stop` argument that will try to shutdow,security,,articles\modules\ROOT\pages\how-to-properly-shutdown-a-neo4j-database.adoc,1,medium,,
175,How to Setup Neo4j to Startup on Linux Server Reboot,"If you want to emulate the Neo4j RPM service with a tar installation on Linux systems, do the following steps:",security,,articles\modules\ROOT\pages\how-to-setup-neo4j-to-startup-on-linux-server-reboot.adoc,1,low,,
176,"Solving the ""Store copy failed due to store ID mismatch"" error","It is possible that after seeding a cluster or restoring from a backup, you may encounter the following error while starting your cluster:",cypher,,articles\modules\ROOT\pages\how-to-solve-store-copy-failed-due-to-store-id-mismatch.adoc,1,medium,,
177,How activation keys work,"Activation keys are mini-contracts that are signed by Neo4j, granting access to a ""feature"". Typically,",security,,articles\modules\ROOT\pages\how-to-use-activation-keys.adoc,1,medium,,
178,How to use the BI Connector on the Command Line,This article describes how to use the BI Connector integration with SQLLine.,security,,articles\modules\ROOT\pages\how-to-use-the-bi-connector-with-sqlline.adoc,1,medium,,
179,How to use the BI Connector with Tableau Desktop,This article describes how to use the BI Connector integration with Tableau Desktop.,security,,articles\modules\ROOT\pages\how-to-use-the-bi-connector-with-tableau-desktop.adoc,1,medium,,
180,How to use the BI Connector with Tableau Server,This article describes how to use the BI Connector integration with Tableau Server.,security,,articles\modules\ROOT\pages\how-to-use-the-bi-connector-with-tableau-server.adoc,1,medium,,
181,How to Use the Debug Log Parser Script,"For analysis of the Neo4j debug.log, read this guide for using the `debugInfo.sh` parser script.",security,,articles\modules\ROOT\pages\how-to-use-the-debug-log-parser-script.adoc,1,medium,,
182,How to write a Cypher query to return the top N results per category,The following Cypher describes how you can display the Top 5 test scores within an entire :Score population broken,cypher,"create (n:Score {student_id: 'DC001', score: 89, field_of_study: 'chemistry'});
create (n:Score {student_id: 'MK812', score: 97, field_of_study: 'chemistry'});
create (n:Score {student_id: 'JT909', score: 77, field_of_study: 'chemistry'});
create (n:Score {student_id: 'SA743', score: 84, field_of_study: 'chemistry'});
create (n:Score {student_id: 'EH331', score: 68, field_of_study: 'chemistry'});

create (n:Score {student_id: 'AE034', score: 89, field_of_study: 'economics'});
create (n:Score {student_id: 'DC001', score: 91, field_of_study: 'economics'});
create (n:Score {student_id: 'JF623', score: 74, field_of_study: 'economics'});
create (n:Score {student_id: 'TP810', score: 77, field_of_study: 'economics'});
create (n:Score {student_id: 'BB317', score: 82, field_of_study: 'economics'});
create (n:Score {student_id: 'AH042', score: 61, field_of_study: 'economics'});
create (n:Score {student_id: 'RV448', score: 59, field_of_study: 'economics'}); | match (n:Score) 
with n order by n.score desc
with n.field_of_study as class,collect(n.student_id + '('+ n.score +')') as student
return class,student[0..5]
order by class",articles\modules\ROOT\pages\how-to-write-a-cypher-query-to-return-the-top-n-results-per-catgeory.adoc,1,high,,
183,"Importing CSV Files: Neo4j Aura, Desktop and Sandbox",Loading various kinds of files into Neo4j requires different locations depending on the tool you are using.,cypher,"LOAD CSV FROM 'https://raw.githubusercontent.com/<yourFileRepositoryPath>' AS row
RETURN row 
LIMIT 20 | LOAD CSV FROM 'http://data.neo4j.com/northwind/products.csv' AS row
RETURN row",articles\modules\ROOT\pages\import-csv-locations.adoc,1,high,,
184,Increasing Systemd Thread Limits,"In some high workload, and large scale multi-database environments, you may find that your Systemd unit configuration limits the maximum number of processes (""tasks"") too low for your use case.",security,,articles\modules\ROOT\pages\increasing-systemd-thread-limits.adoc,1,low,,
185,Index limitations and workarounds,In this article we discuss index providers and what limitations and workarounds there are.,cypher,"CREATE INDEX ""My index"" FOR (p:Person) ON (p.name)",articles\modules\ROOT\pages\index-limitations-and-workaround.adoc,1,high,,
186,"Installing Neo4j Database on Debian or Ubuntu fails with ""The following packages have unmet dependencies""",*Installing Neo4j Database on Debian or Ubuntu fails with the error:*,cypher,,articles\modules\ROOT\pages\installing-neo4j-on-debian-or-ubuntu-fails-with-packages-have-unmet-dependencies.adoc,1,medium,,
187,Why did I get the “Kernel API returned non-existent relationship type: -1” exception?,"In rare situations, the Neo4j Bolt driver throws an IllegalStateException. The top part of the stack appears as:",cypher,,articles\modules\ROOT\pages\kernel-api-returned-non-existent-relationship-type-exception.adoc,1,medium,,
188,Large Delete Transaction Best Practices in Neo4j,"In order to achieve the best performance, and avoid negative effects on the rest of the system, consider these best practices when processing large deletes.",cypher,"MATCH (n:Foo) where n.foo='bar'
CALL { WITH n
DETACH DELETE n
} IN TRANSACTIONS OF 10000 ROWS; | call apoc.periodic.iterate(""MATCH (n:Foo) where n.foo='bar' return id(n) as id"", ""MATCH (n) WHERE id(n) = id DETACH DELETE n"", {batchSize:10000})
yield batches, total return batches, total",articles\modules\ROOT\pages\large-delete-transaction-best-practices-in-neo4j.adoc,1,high,,
189,LDAP Error: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,When configuring LDAP with certificates you may encounter the following issue:,security,,articles\modules\ROOT\pages\ldap-error-unable-to-find-valid-certification-path-to-requested-target.adoc,1,low,,
190,Limiting Bolt Threads vs Connections,"Given high levels of read/write transaction requests, some ingress transactions may be rejected by the Neo4j server and the",security,,articles\modules\ROOT\pages\limiting-bolt-threads-vs-connections.adoc,1,low,,
191,Limiting MATCH results per row,"Since `LIMIT` applies to the total number of rows of the query, it can't be used in cases when matching from multiple nodes where the limit must be on match results per row.",cypher,"MATCH (:Movie{title:'The Matrix'})<-[:ACTED_IN]-(p:Person)
                   MATCH (p)-[:ACTED_IN]->(m)
                   RETURN p, m LIMIT 3 | MATCH (:Movie{title:'The Matrix'})<-[:ACTED_IN]-(p:Person)
CALL {
    WITH p
    MATCH (p)-[:ACTED_IN]->(m)
    RETURN m
    LIMIT 3
}

RETURN p, m",articles\modules\ROOT\pages\limiting-match-results-per-row.adoc,1,high,,
192,Linkurious bolt configuration,Default Linkurious configuration contains the following snippet in the `production.json` configuration file:,security,,articles\modules\ROOT\pages\linkurious-bolt-configuration.adoc,1,medium,,
193,Linux Out of Memory killer,The Out Of Memory Killer or OOM Killer is a process that the linux kernel employs when the system is critically low on memory. This,performance,,articles\modules\ROOT\pages\linux-out-of-memory-killer.adoc,1,medium,,
194,List of restricted ports in browsers,This document provides a list of ports which generate an error when browsing via Chrome. It is a super-set of ports most of which are also restricted in Mozilla Firefox,security,,articles\modules\ROOT\pages\list-of-restricted-ports-in-browsers.adoc,1,low,,
195,Load CSV data in Neo4j from CSV files on Amazon S3 Bucket,"Neo4j provides LOAD CSV cypher command to load data from CSV files into Neo4j or access CSV files via HTTPS, HTTP and FTP.",cypher,"LOAD CSV WITH HEADERS FROM ""https://rohank.s3.amazonaws.com/actors.csv?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=REDACTED&X-Amz-Date=20190404T215301Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=REDACTED"" as row return count(row)",articles\modules\ROOT\pages\load-csv-data-from-csv-files-on-aws-s3-bucket.adoc,1,high,,
196,Lock Manager Differences Explained,Work in Progress,performance,,articles\modules\ROOT\pages\lock-manager-differences-explained.adoc,1,low,,
197,Long GC Pauses caused by application code calling `System.gc()`,"When investigating the cause of long garbage collection cycles, it is often useful to enable GC logging.",performance,,articles\modules\ROOT\pages\long-pauses-caused-by-application-code-calling-system-gc.adoc,1,medium,,
198,Manually Merging neo4j-wrapper.conf into neo4j.conf in Neo4j 3.1,"Neo4j 3.1 takes the configuration changes made in Neo4j 3.0 a step further, and ships with a single configuration file: `conf/neo4j.conf`. This is the result of merging the contents of `conf/neo4j.con",security,,articles\modules\ROOT\pages\manually-merging-neo4jwrapperconf-into-neo4jconf-in-neo4j-31.adoc,1,low,,
199,Manually Migrating Configuration Settings from Neo4j 2.x to Neo4j 3.x,One of the major changes in Neo4j 3.0 was the reworking of configuration files and the individual configuration setting naming convention to make it more consitent and managable going forward. A confi,security,,articles\modules\ROOT\pages\manually-migrating-configuration-settings-from-neo4j-2x-to-neo4j-3x.adoc,1,medium,,
200,Migrating Explicit Lucene Indexes to Native Schema Indexes,"Given that there are still some customers on the older Neo4j releases that utilize legacy/explicit indexes, we will discuss a few pointers here on how to convert these indexes to native schema indexes",modeling,,articles\modules\ROOT\pages\migrating-explicit-lucene-indexes-to-native-schema-indexes.adoc,1,medium,,
201,How do I establish a simple HTTP Server local to my Neo4j Instance to serve CSV files,When using https://neo4j.com/docs/cypher-manual/current/functions/load-csv/[LOAD CSV] one can define,cypher,load csv from 'http://192.168.97.215:8000/movies.csv' as row,articles\modules\ROOT\pages\minimalistic-local-webserver-for-load-csv.adoc,1,high,,
202,Mitigating Causal Cluster re-elections caused by high GCs,"This article describes the effects of JVM stop-the-world GC pauses, on a causal cluster. A brief introduction to garbage collection,",performance,,articles\modules\ROOT\pages\mitigating-causal-cluster-re-elections-caused-by-high-gcs.adoc,1,medium,,
203,Retired: Modifying the http.log Format on Neo4j 2.x,"Prior to Neo4j 3.0, the http.log format was controlled by `neo4j-http-logging.xml`. The default format works fine, except when you need",cypher,,articles\modules\ROOT\pages\modifying-the-httplog-format-on-neo4j-2x.adoc,1,medium,,
204,Run multiple Causal Clusters locally using Docker,It's rather easy to run multiple causal clusters on the same server or machine. You need to ensure:,security,,articles\modules\ROOT\pages\multiple-causal-clusters-using-docker.adoc,1,low,,
205,Neo4j 3.5 to 4.x Migration Help and Resources,This guide is designed to provide key details and links on various 3.5 to 4.x migration resources.,security,,articles\modules\ROOT\pages\neo4j-3dot5-to-4-dot-x-migrations-best-practices.adoc,1,medium,,
206,Neo4j 4.2.x Security Vulnerability Fixed in Release 4.2.8,Neo4j 4.2.x Enterprise and Aura Cloud before 2021-06-18,security,,articles\modules\ROOT\pages\neo4j-4-2-x-sec-vuln-fix.adoc,1,medium,,
207,"neo4j-admin load causes ""Not a valid Neo4j archive""","When using `neo4j-admin load` for loading a .dump file, following error is observerd:",security,,articles\modules\ROOT\pages\neo4j-admin-load-causes-not-a-valid-neo4j-archive.adoc,1,low,,
208,Neo4j & JDBC: the Neo4j JDBC Driver vs. BI Connector,"This page describes the connection between JDBC and Neo4j,",cypher,,articles\modules\ROOT\pages\neo4j-and-jdbc.adoc,1,medium,,
209,Neo4j behaviour when running out of disk space (3.4+),"Following the improvements on the recovery process after an instance runs out of disk space introduced in v3.4.0, this article aims to offer a view on the behaviour of Neo4j when this happens.",security,,articles\modules\ROOT\pages\neo4j-behaviour-when-running-out-of-disk-space-3-4.adoc,1,low,,
210,Neo4j's commit process explained,This article will try to guide you through Neo4j's commit and replication processes both for single instances and causal clusters.,security,,articles\modules\ROOT\pages\neo4j-commit-process-explained.adoc,1,low,,
211,Neo4j current transaction commit process order,"Transactions in Neo4j use a read-committed isolation level, which means they will see data as soon as it has been committed and will",security,,articles\modules\ROOT\pages\neo4j-current-transaction-commit-process-order.adoc,1,medium,,
212,Neo4j Desktop password change failure,"This document provides info and resolution for the error message on a clean install of Desktop 1.0.2x,",cypher,,articles\modules\ROOT\pages\neo4j-desktop-password-change-failure.adoc,1,medium,,
213,Bulk Import / Backups into running 4.0 instances,Neo4j 4.0 allows for multiple running databases. You can use `neo4j-admin import` or `neo4j-admin restore` to import or restore a database into a new database on a running 4.0 instance.,security,"neo4j> :use system
neo4j> create database dataload1
neo4j> show databases
neo4j> :use dataload1
neo4j> MATCH (n:STORE) return n limit 3; | neo4j> :use system
neo4j> create database dataload2
neo4j> show databases
neo4j> :use dataload2
neo4j> MATCH (n:STORE) return n limit 3;",articles\modules\ROOT\pages\neo4j-import-into-running-4-0-instance.adoc,1,low,,
214,Neo4j specific http request user agent strings,"For those https://neo4j.com/labs/apoc/[APOC] commands that retrieve data using HTTP/HTTPS,",cypher,,articles\modules\ROOT\pages\neo4j-specific-http-request-user-agent-strings.adoc,1,medium,,
215,Neo4j Streams - Kafka Integration - List of Must Gather for Troubleshooting,"When troubleshooting issues on Neo4j Streams, use the below list of must gather information points to help investigating.",security,,articles\modules\ROOT\pages\neo4j-streams-kafka-integration-list-of-mustgather-for-troubleshooting.adoc,1,medium,,
216,Neo4j: Convert string to date,"Neo4j 3.4 saw the https://neo4j.com/blog/neo4j-graph-database-3-4-ga-release/[introduction of the temporal date type^], and while there is now powerful in built functionality, converting strings to da",cypher,"RETURN date(""2019-06-04"") AS date | RETURN date(""04/06/2019"") AS date",articles\modules\ROOT\pages\neo4j-string-to-date.adoc,1,high,,
217,Neo4j Supported Versions,### Latest Neo4j Database Enterprise Edition,security,,articles\modules\ROOT\pages\neo4j-supported-versions.adoc,1,low,,
218,Number of open files,GNU/Linux and Mac OS operating systems impose an upper limit on the number of concurrent files a user may have open.,security,,articles\modules\ROOT\pages\number-of-open-files-on-linux.adoc,1,low,,
219,Parsing json query logs,There are times when we have to examine a query log in order to find longest running queries and/or other problem queries such as those with missing indexes or when not using parameters appropriately.,cypher,,articles\modules\ROOT\pages\parsing-json-query-logs.adoc,1,medium,,
220,Parsing of quotes for LOAD CSV and/or Import,When using http://neo4j.com/docs/developer-manual/current/cypher/clauses/load-csv/[LOAD CSV] or,cypher,"LOAD CSV WITH HEADERS FROM ""file:///hr.csv"" AS row FIELDTERMINATOR ','  CREATE (n:Staff { staffid: toInt(row.id), staff_name: row.name}); | neo4j> match (n) return n;
+",articles\modules\ROOT\pages\parsing-of-quotes-for-load-csv-and-or-import.adoc,1,high,,
221,Pass Temporal Objects as Parameters,"With the support of datetime types in Neo4j, users might wonder how or if it works to transport those types along with other data types via the drivers.",cypher,"CREATE (p:Person { name: 'Bob', birthday: date(2018,01,01) })",articles\modules\ROOT\pages\pass-temporal-objects-parameters.adoc,1,high,,
222,Performing match intersection,Match intersection is a common use case where you're searching for nodes which have relationships to all of a set of input nodes.,cypher,"WITH ['Keanu Reeves', 'Hugo Weaving', 'Emil Eifrem'] as names
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE p.name in names
RETURN m | WITH ['Keanu Reeves', 'Hugo Weaving', 'Emil Eifrem'] as names
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE p.name in names
WITH m, size(names) as inputCnt, count(DISTINCT p) as cnt
WHERE cnt = inputCnt
RETURN m",articles\modules\ROOT\pages\performing-match-intersection.adoc,1,high,,
223,Performing pattern negation to multiple nodes,Some use cases require matching to nodes which aren't connected to any of some other set of nodes.,cypher,"(:Recipe)-[:INCLUDES]->(:Ingredient) | MATCH (excluded:Ingredient)
WHERE excluded.name in $excludedIngredients
MATCH (r:Recipe)
WHERE NOT (r)-[:INCLUDES]->(excluded)
RETURN r",articles\modules\ROOT\pages\performing-pattern-negation.adoc,1,high,,
224,"Getting ""Permission Denied"" errors after using neo4j-admin commands","If you have leveraged Debian or RPM Packages to install Neo4j on Linux (or used one of the Public Cloud Marketplace offerings), you need to be careful of file and folder permissions.",security,,articles\modules\ROOT\pages\permission-denied-errors-after-neo4j-admin.adoc,1,low,,
225,Planning Data Center Migration,The following KB describes the process that you can use utilizing backup (or Read-Replicas) in order to migrate (and/or upgrade) from one datacenter(DC1) to another(DC2) in a rolling fashion with no z,security,,articles\modules\ROOT\pages\planning-data-center-migration.adoc,1,low,,
226,Post-UNION processing,"Cypher does not allow further processing of `UNION` or `UNION ALL` results, since `RETURN` is required in all queries of the union.",cypher,"CALL {
  MATCH (movieOrPerson:Movie) RETURN movieOrPerson
  UNION
  MATCH (movieOrPerson:Person) RETURN movieOrPerson
}
WITH movieOrPerson
... | MATCH (m:Movie {title:'The Matrix'})
CALL {
    WITH m
    MATCH (m)<-[:ACTED_IN]-(p)
    RETURN p
    UNION
    WITH m
    MATCH (m)<-[:DIRECTED]-(p)
    RETURN p
}
RETURN p.name as name
ORDER BY name ASC",articles\modules\ROOT\pages\post-union-processing.adoc,1,high,,
227,Preserving the Neo4j pagecache across database restarts,"Commencing with Neo4j 3.4 and as a result of https://github.com/neo4j/neo4j/pull/10957[PR 10957], and when using Neo4j Enterprise the",performance,,articles\modules\ROOT\pages\preserving-the-neo4j-pagecache-across-database-restarts.adoc,1,medium,,
228,Proper File Permissions on Neo4j Server,"When installing Neo4j Server, keep in mind that the `bin/neo4j` executable will need to be run by some OS system user, and that user will need write permissions to some files/directories, specifically",security,,articles\modules\ROOT\pages\proper-file-permissions-on-neo4j-server.adoc,1,low,,
229,Properly escaping input data for neo4j-import,"`neo4j-import` is intended to populate a new, empty database.",security,"neo4j> match (n:Movie) return n.line;
+ | neo4j> match (n:Movie) return n;
+",articles\modules\ROOT\pages\properly-escaping-input-data-for-neo4j-import.adoc,1,low,,
230,Protecting against Cypher Injection,"Cypher Injection is a way for maliciously formatted input to jump out of its context, and by altering the query itself, hijack the query and perform unexpected operations on the database.",cypher,"CREATE (s:Student)
SET s.name = 'Robby' WITH true as ignored MATCH (s:Student) DETACH DELETE s; //'; | CREATE (s:Student)
SET s.name = $studentName",articles\modules\ROOT\pages\protecting-against-cypher-injection.adoc,1,high,,
231,Protecting against Server Side Request Forgery (SSRF),Server-side request forgery (SSRF) vulnerabilities let an attacker send crafted requests from the back-end server of a vulnerable web application. Criminals usually use SSRF attacks to target internal,cypher,,articles\modules\ROOT\pages\protecting-against-ssrf.adoc,1,medium,,
232,How to Configure Proxy in Neo4j Desktop,Organizations have proxy settings in order to access the internet or external websites.,security,,articles\modules\ROOT\pages\proxy-setting-for-neo4j-desktop.adoc,1,medium,,
233,Query to kill transactions that take longer than X seconds and doesn't contain certain keywords,In Neo4j we currently have the configuration property referred to as execution guard:,cypher,"call dbms.listQueries() yield query, elapsedTimeMillis, queryId, username
where  NOT query contains toLower(“LOAD"")
and elapsedTimeMillis >30000
with query, collect(queryId) as q
call dbms.killQueries(q) yield queryId
return query, queryId | call dbms.listQueries() yield query, elapsedTimeMillis, queryId, username
where  NOT username contains toLower(""neo4j"")
and elapsedTimeMillis >30000
with query, collect(queryId) as q
call dbms.killQueries(q) yield queryId
return query, queryId",articles\modules\ROOT\pages\query-to-kill-transactions-that-take-longer.adoc,1,high,,
234,Recommendations for recovery upon Out Of Memory error,It is possible to configure the JVM (Java Virtual Machine) such that upon encountering an OOM (Out-Of-Memory) error it will force an exception and crash or simply shut down the application. Taking act,performance,,articles\modules\ROOT\pages\recommendations-for-recovery-upon-out-of-memory-error.adoc,1,medium,,
235,Recovering Local Bloom Perspectives,When Bloom is connected to a Neo4j server that does not have the Bloom plugin installed it stores perspectives locally in the Web Browser or Neo4j Desktop's local storage.,security,,articles\modules\ROOT\pages\recovering-local-bloom-perspectives.adoc,1,medium,,
236,Recreating Indexes and Constraints on 3.5,This article describes the process to drop and recreate all indexes and constraints on 3.5.x.,performance,"CALL db.constraints() YIELD description
RETURN 'DROP ' + description + '; CREATE ' + description + ';' | CALL db.indexes() YIELD description,type
WHERE type='node_label_property'
RETURN 'DROP ' + description + '; CREATE ' + description + ';'",articles\modules\ROOT\pages\recreating-indexes-and-constraints-on-35.adoc,1,high,,
237,Redirect Neo4j logs to sysout (using rsyslog),"Sometimes - due to organizational requirements, security, indexing or plain convenience - we want to output all of our application logs to Linux's sysout. While Neo4j doesn't offer this feature, we ca",performance,,articles\modules\ROOT\pages\redirect-neo4j-logs-to-sysout-using-rsyslog.adoc,1,medium,,
238,Requirement makes database unavailable: Database available --- INITIALIZED diagnostics START ---,"When running `neo4j-admin backup`, the debug.log shows a message that appears to indicate that the database restarted; however, this is not the case.",security,,articles\modules\ROOT\pages\requirement-makes-database-unavailable-database-available-initialized-diagnostics-start.adoc,1,low,,
239,Resetting query cardinality,"As queries execute, they build up result rows. Cypher executes operations per-row.",cypher,"MATCH (p:Person)
WHERE (p)-[:ACTED_IN]->(:Movie)
SET p:Actor

CREATE (:Movie{title:'The Animatrix'}) | MATCH (p:Person)
WHERE (p)-[:ACTED_IN]->(:Movie)
SET p:Actor

WITH DISTINCT 1 AS ignored
CREATE (:Movie{title:'The Animatrix'})",articles\modules\ROOT\pages\resetting-query-cardinality.adoc,1,high,,
240,Resolve Port Conflicts in Neo4j Desktop,"Occasionally upon upgrade or re-install, Neo4j Desktop may throw a repetitive port conflict exception for ports 7474, 7687,",security,,articles\modules\ROOT\pages\resolve-port-conflicts-in-neo4j-desktop.adoc,1,low,,
241,"How to resolve Python Bolt Driver when executed gives an error ""(""Failed to establish connection to {!r}"".format(address))""",Take the example of Python with the latest Bolt driver 1.2.,security,,articles\modules\ROOT\pages\resolve-python-bolt-driver-error-connection.adoc,1,medium,,
242,Resolve TLS certificate errors,TLS encryption is required everywhere.,security,,articles\modules\ROOT\pages\resolve-tls-certificate-errors.adoc,1,low,,
243,Running copy store tool on windows,"The copy store utilities is a set of tools to compact, copy, fix and analyse Neo4j stores. You might already know this but if not, you can",performance,,articles\modules\ROOT\pages\running-copy-store-tool-on-windows.adoc,1,medium,,
244,Running Docker as Non-Root User,"When running Neo4j Docker, it will run as `neo4j` user inside the container. But to run docker as a different user one can specify the `--user` argument.",security,,articles\modules\ROOT\pages\running-docker-as-nonroot-user.adoc,1,low,,
245,Sending Neo4j messages to a Slack channel,"Although not specific to Neo4j and this knowledge base document is provided as a convenience, if your environment has a",security,,articles\modules\ROOT\pages\sending-neo4j-message-to-slack-channel.adoc,1,medium,,
246,Setting Max Open File Limits on Mac OSX,This document provides a process for setting soft and hard max open file limits on MAC OSX. Each thread created by a user,security,,articles\modules\ROOT\pages\setting-max-open-file-limits-on-osx.adoc,1,low,,
247,How to set up SSL communcation when running Neo4j within a Docker Container,"Neo4j 3.2 added a Unified SSL Framework to setup secure connections for Bolt, HTTPS and Intra-Cluster Encryption.  Details on this",security,,articles\modules\ROOT\pages\setting-up-ssl-with-docker.adoc,1,low,,
248,Setup Neo4j Service to run with different service ID,"By default when neo4j is installed as an RPM via yum or apt-get, it creates a user `neo4j` and group `neo4j` and runs as `neo4j` user.",security,,articles\modules\ROOT\pages\setup-neo4j-service-with-different-service-id.adoc,1,low,,
249,Setup Routing Policies for Different User Types To Direct them to Different Servers,There is a Causal Cluster Setup with 3 Cores and 1 Read Replica. There are 2 user groups - OLTP users and OLAP users.,security,,articles\modules\ROOT\pages\setup-routing-policies-for-different-user-types.adoc,1,low,,
250,Shared vs Exclusive Transaction locks,This document describes the meaning of a shared lock as seen by transactions and the difference between a shared and exclusive lock.,performance,"MATCH (p:Person)
WHERE p.name = 'Tom Hanks'
set p.award= 'Oscar' | MATCH (p:Person)
WHERE p.name = 'Tom Hanks'
SET p.award = 'Oscar'
with p
call apoc.util.sleep(200000)
RETURN p.award",articles\modules\ROOT\pages\shared-vs-exclusive-transaction-locks.adoc,1,high,,
251,Solve dependency issues,There are multiple ways to include neo4j artifacts.,security,,articles\modules\ROOT\pages\solve-dependency-issues.adoc,1,medium,,
252,How to import a file with LOAD CSV that has a space in file name?,When you try to import data from a file using LOAD CSV where the filename containing spaces for example you get the following error:,cypher,"load csv from ""file:///test copy.csv"" as row return row | load csv from ""file:///test%20copy.csv"" as row return row",articles\modules\ROOT\pages\space-in-import-filename-for-load-csv.adoc,1,high,,
253,How to specify a separate debug.log for the backup process?,When running `neo4j-admin backup` on a running Neo4j instance the backup logs are also written into the existing Neo4j instance `debug.log` and can get confusing as to which line items in the debug.lo,security,,articles\modules\ROOT\pages\specify-separate-debug-log-for-backup.adoc,1,low,,
254,Split between APOC Core and APOC Extended,"With the release of Neo4j 5, the APOC library has been split into two separate packages: https://neo4j.com/docs/apoc/5/[APOC Core] and https://neo4j.com/labs/apoc/5/[APOC Extended].",security,,articles\modules\ROOT\pages\split-between-apoc-core-and-apoc-extended.adoc,1,medium,,
255,Startup failure due to misconfigured unmanaged extensions or plugins,"Occasionally, following upgrades, one might encounter Neo4j server initialisation failure due to an exception similar to:",security,,articles\modules\ROOT\pages\startup-failure-misconfigured-unmanaged-extensions-or-plugins.adoc,1,medium,,
256,Stopping the Neo4j docker image in order to restore from a backup,"In a https://neo4j.com/docs/operations-manual/current/installation/docker/[`neo4j docker installation`], the https://neo4j.com/docs/operations-manual/current/backup-restore/restore-backup/#restore-bac",security,,articles\modules\ROOT\pages\stopping-and-restoring-neo4j-docker-image.adoc,1,low,,
257,Store Format Versions Reference Guide,"In some situations, you may see a log message or exception that refers to a store format version, and it is not clear",security,,articles\modules\ROOT\pages\store-format-versions.adoc,1,low,,
258,"Explantion of ""storeId is different from this machine"" error","If you encounter a ""Failed to serve TxPullRequest for ... storeId xxxxxx because that storeId is different from this machine with Store..."" in your `$NEO4J_HOME/logs/debug.log` similar to:",security,,articles\modules\ROOT\pages\storeid-is-different-from-this-machine.adoc,1,medium,,
259,TLS/SSL Configuration for Specific Ciphers,"Per documentation: `dbms.ssl.policy.<policyname>.ciphers` is by default set to the Java platform default allowed cipher suites, which can also be explicitly set to any specific ciphers (separated by """,security,,articles\modules\ROOT\pages\tls-ssl-configuration-for-specific-ciphers.adoc,1,low,,
260,Troubleshooting Connection Issues in Neo4j Browser and Cypher Shell,"This page describes common issues users may encounter in connecting Neo4j Browser or cypher-shell to a Neo4j database,",cypher,,articles\modules\ROOT\pages\troubleshooting-connection-issues.adoc,1,medium,,
261,Troubleshooting Neo4j Desktop Issues on Linux,This page describes common issues users may encounter when running Neo4j Desktop on Linux.,security,,articles\modules\ROOT\pages\troubleshooting-neo4j-desktop-linux.adoc,1,low,,
